filename	condition_code	description	item_code	target_onset
local_sent_address.wav	1	local_switched_address	1001	597
local_sent_afternoon.wav	1	local_switched_afternoon	1002	489
local_sent_airport.wav	1	local_switched_airport	1003	635
local_sent_animal.wav	1	local_switched_animal	1004	685
local_sent_ant.wav	1	local_switched_ant	1005	608
local_sent_apple.wav	1	local_switched_apple	1006	550
local_sent_backpack.wav	1	local_switched_backpack	1007	580
local_sent_balcony.wav	1	local_switched_balcony	1008	605
local_sent_banana.wav	1	local_switched_banana	1009	721
local_sent_beverage.wav	1	local_switched_beverage	1010	595
local_sent_bookshelf.wav	1	local_switched_bookshelf	1011	405
local_sent_bookstore.wav	1	local_switched_bookstore	1012	473
local_sent_bottle.wav	1	local_switched_bottle	1013	500
local_sent_breakfast.wav	1	local_switched_breakfast	1014	702
local_sent_butter.wav	1	local_switched_butter	1015	530
local_sent_butterfly.wav	1	local_switched_butterfly	1016	576
local_sent_cake.wav	1	local_switched_cake	1017	600
local_sent_calendar.wav	1	local_switched_calendar	1018	675
local_sent_camera.wav	1	local_switched_camera	1019	650
local_sent_child.wav	1	local_switched_child	1020	465
local_sent_chilli.wav	1	local_switched_chilli	1021	528
local_sent_clothes.wav	1	local_switched_clothes	1022	718
local_sent_coat.wav	1	local_switched_coat	1023	720
local_sent_company.wav	1	local_switched_company	1024	525
local_sent_computer.wav	1	local_switched_computer	1025	587
local_sent_cookie.wav	1	local_switched_cookie	1026	500
local_sent_corn.wav	1	local_switched_corn	1027	498
local_sent_country.wav	1	local_switched_country	1028	785
local_sent_cucumber.wav	1	local_switched_cucumber	1029	520
local_sent_direction.wav	1	local_switched_direction	1030	607
local_sent_earphones.wav	1	local_switched_earphones	1031	595
local_sent_egg.wav	1	local_switched_egg	1032	530
local_sent_eggtart.wav	1	local_switched_eggtart	1033	660
local_sent_elephant.wav	1	local_switched_elephant	1034	466
local_sent_essay.wav	1	local_switched_essay	1035	722
local_sent_event.wav	1	local_switched_event	1036	635
local_sent_eye.wav	1	local_switched_eye	1037	568
local_sent_family.wav	1	local_switched_family	1038	610
local_sent_finger.wav	1	local_switched_finger	1039	600
local_sent_friedrice.wav	1	local_switched_friedrice	1040	624
local_sent_friend.wav	1	local_switched_friend	1041	500
local_sent_frog.wav	1	local_switched_frog	1042	540
local_sent_game.wav	1	local_switched_game	1043	500
local_sent_garbage.wav	1	local_switched_garbage	1044	522
local_sent_garden.wav	1	local_switched_garden	1045	505
local_sent_garlic.wav	1	local_switched_garlic	1046	747
local_sent_gift.wav	1	local_switched_gift	1047	479
local_sent_grapes.wav	1	local_switched_grapes	1048	465
local_sent_greentea.wav	1	local_switched_greentea	1049	440
local_sent_hanger.wav	1	local_switched_hanger	1050	568
local_sent_homework.wav	1	local_switched_homework	1051	870
local_sent_honey.wav	1	local_switched_honey	1052	660
local_sent_hotel.wav	1	local_switched_hotel	1053	682
local_sent_hotpot.wav	1	local_switched_hotpot	1054	616
local_sent_house.wav	1	local_switched_house	1055	560
local_sent_keys.wav	1	local_switched_keys	1056	580
local_sent_language.wav	1	local_switched_language	1057	495
local_sent_law.wav	1	local_switched_law	1058	377
local_sent_letter.wav	1	local_switched_letter	1059	536
local_sent_luggage.wav	1	local_switched_luggage	1060	560
local_sent_lunchbox.wav	1	local_switched_lunchbox	1061	550
local_sent_man.wav	1	local_switched_man	1062	502
local_sent_milk.wav	1	local_switched_milk	1063	690
local_sent_moon.wav	1	local_switched_moon	1064	607
local_sent_movie.wav	1	local_switched_movie	1065	570
local_sent_mushroom.wav	1	local_switched_mushroom	1066	550
local_sent_music.wav	1	local_switched_music	1067	840
local_sent_newspaper.wav	1	local_switched_newspaper	1068	730
local_sent_noodles.wav	1	local_switched_noodles	1069	400
local_sent_number.wav	1	local_switched_number	1070	548
local_sent_peacock.wav	1	local_switched_peacock	1071	490
local_sent_peak.wav	1	local_switched_peak	1072	570
local_sent_pencil.wav	1	local_switched_pencil	1073	820
local_sent_pepper.wav	1	local_switched_pepper	1074	562
local_sent_phone.wav	1	local_switched_phone	1075	460
local_sent_photo.wav	1	local_switched_photo	1076	440
local_sent_piano.wav	1	local_switched_piano	1077	530
local_sent_picnic.wav	1	local_switched_picnic	1078	580
local_sent_plant.wav	1	local_switched_plant	1079	714
local_sent_plate.wav	1	local_switched_plate	1080	550
local_sent_potato.wav	1	local_switched_potato	1081	483
local_sent_quality.wav	1	local_switched_quality	1082	700
local_sent_question.wav	1	local_switched_question	1083	372
local_sent_radish.wav	1	local_switched_radish	1084	524
local_sent_raincoat.wav	1	local_switched_raincoat	1085	526
local_sent_residence.wav	1	local_switched_residence	1086	585
local_sent_riddle.wav	1	local_switched_riddle	1087	562
local_sent_rock.wav	1	local_switched_rock	1088	650
local_sent_room.wav	1	local_switched_room	1089	438
